name,status,date,assists,att_field_goals,att_free_throws,att_three_points,blocks,defensive_rebounds,made_field_goals,made_free_throws,made_three_point,offensive_rebounds,personal_fouls,points,steals,turnovers,outcomes,opp_name,opp_assists,opp_att_field_goals,opp_att_free_throws,opp_att_three_points,opp_blocks,opp_defensive_rebounds,opp_made_field_goals,opp_made_free_throws,opp_made_three_point,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_turnovers,total_rebounds,opp_total_rebounds
MILWAUKEE_BUCKS,away,10_17,26,85,20,34,4,46,42,15,14,11,25,113,5,21,1,CHARLOTTE_HORNETS,21,92,22,38,9,32,41,14,16,9,19,112,8,11,57,41
MILWAUKEE_BUCKS,home,10_19,27,93,21,46,8,39,44,13,17,11,26,118,9,17,1,INDIANA_PACERS,14,87,27,18,3,32,38,19,6,9,25,101,7,17,50,41
MILWAUKEE_BUCKS,home,10_22,27,96,24,40,9,36,45,17,17,19,18,124,5,14,1,NEW_YORK_KNICKS,22,99,15,29,2,32,45,13,10,11,21,113,6,11,55,43
MILWAUKEE_BUCKS,home,10_24,24,100,30,43,10,42,41,28,13,9,27,123,7,11,1,PHILADELPHIA_76ERS,29,92,30,34,5,42,38,21,11,8,27,108,4,16,51,50
MILWAUKEE_BUCKS,away,10_26,32,92,11,46,8,55,49,8,19,7,23,125,4,17,1,MINNESOTA_TIMBERWOLVES,19,112,18,43,6,32,36,13,10,17,15,95,10,7,62,49
MILWAUKEE_BUCKS,home,10_27,24,82,23,30,7,51,41,21,10,6,19,113,6,21,1,ORLANDO_MAGIC,21,101,17,43,6,30,33,15,10,11,22,91,9,11,57,41
MILWAUKEE_BUCKS,home,10_29,28,92,19,45,4,49,45,15,19,8,21,124,5,17,1,TORONTO_RAPTORS,25,103,28,45,7,36,39,22,9,15,19,109,9,10,57,51
MILWAUKEE_BUCKS,away,11_1,20,85,30,29,3,37,41,22,9,8,20,113,8,14,0,BOSTON_CELTICS,30,92,13,55,8,34,41,11,24,8,23,117,5,12,45,42
MILWAUKEE_BUCKS,home,11_4,30,95,33,56,7,46,46,30,22,10,20,144,6,12,1,SACRAMENTO_KINGS,24,95,22,36,4,36,42,11,14,8,26,109,6,15,56,44
MILWAUKEE_BUCKS,away,11_6,26,92,8,42,1,30,40,7,16,12,16,103,2,11,0,PORTLAND_TRAIL_BLAZERS,23,91,8,43,3,40,48,5,17,11,17,118,7,12,42,51
MILWAUKEE_BUCKS,away,11_8,33,101,27,35,7,33,52,21,9,13,23,134,11,12,1,GOLDEN_STATE_WARRIORS,31,87,22,28,6,30,42,17,10,8,22,111,5,18,46,38
MILWAUKEE_BUCKS,away,11_10,31,105,23,46,8,37,47,16,16,15,26,126,11,17,0,LOS_ANGELES_CLIPPERS,26,99,27,34,6,44,46,22,14,10,19,128,6,17,52,54
MILWAUKEE_BUCKS,away,11_11,27,84,13,34,7,36,48,8,17,5,17,121,10,12,1,DENVER_NUGGETS,27,89,20,38,5,29,41,14,18,10,16,114,8,10,41,39
MILWAUKEE_BUCKS,home,11_14,22,81,27,35,8,35,41,22,9,9,22,113,5,16,0,MEMPHIS_GRIZZLIES,24,83,24,36,4,30,42,18,14,4,20,116,8,12,44,34
MILWAUKEE_BUCKS,home,11_16,28,93,17,43,8,44,47,11,18,11,14,123,8,16,1,CHICAGO_BULLS,22,94,13,33,3,32,41,9,13,4,15,104,8,12,55,36
MILWAUKEE_BUCKS,home,11_19,21,88,22,36,3,38,40,13,11,13,16,104,8,15,1,DENVER_NUGGETS,30,94,9,41,4,30,40,6,12,13,20,98,6,17,51,43
MILWAUKEE_BUCKS,home,11_21,34,108,17,45,2,46,57,14,15,13,23,143,8,14,1,PORTLAND_TRAIL_BLAZERS,13,93,28,41,6,30,34,23,9,10,20,100,8,17,59,40
MILWAUKEE_BUCKS,home,11_23,30,87,30,44,7,36,42,20,10,7,17,114,6,14,0,PHOENIX_SUNS,21,90,22,26,4,34,45,17,9,6,25,116,8,11,43,40
